label,study_and_condition
__label__0,study interventions are Pharmacodynamic Studies . recurrent grade one follicular lymphoma diagnosis and patients with malabsorption or any other condition that in the opinion of the principal investigator could cause difficulty in absorption of drug
__label__0,study interventions are Erlotinib Hydrochloride . stage iv squamous cell carcinoma of the lip and oral cavity diagnosis and more than seven days since other prior cypthreeafour inhibitors
__label__1,study interventions are Tacrolimus . stage iv childhood large cell lymphoma diagnosis and donor
__label__0,study interventions are Albumin-Bound Paclitaxel . cancer of the esophagus gastroesophageal junction or stomach diagnosis and contraception must be continued for one month following discontinuation of the study drugs
__label__1,study interventions are Listerine . prostatic neoplasms diagnosis and serious infection less than or equal to two weeks before the first dose of study drug
__label__1,study interventions are Albumin-Bound Paclitaxel . recurrent fallopian tube carcinoma diagnosis and history of serious ventricular arrhythmia ventricular tachycardia or ventricular fibrillation or cardiac arrhythmias requiring anti arrhythmic medications except for atrial fibrillation that is well controlled with antiarrhythmic medication
__label__0,study interventions are Immunoglobulins . mantle cell lymphoma diagnosis and per world health organization who criteria
__label__1,study interventions are Capecitabine . prior chemotherapy for unresectable locally advanced or metastatic adenocarcinoma of the stomach or gastro esophageal junction gej
__label__1,study interventions are Bortezomib . contiguous stage ii adult diffuse mixed cell lymphoma diagnosis and patient has greater_than equal_than grade two peripheral neuropathy within fourteen days before enrollment
__label__0,study interventions are Immunoglobulin G . malignant pancreatic somatostatinoma diagnosis and selective internal radiation therapy such as brachytherapy cyberknife_radiolabeled microsphere embolization etc
__label__0,study interventions are laboratory biomarker analysis . breast cancer diagnosis and hormone receptor status not specified
__label__1,study interventions are Cyclosporine . recurrent plasma cell myeloma diagnosis and patients with refractory anemia with excess blasts raeb who have not received myelosuppressive chemotherapy induction chemotherapy
__label__0,study interventions are Bevacizumab . pancreatic cancer diagnosis and negative pregnancy test
__label__1,study interventions are Estradiol 17 beta-cypionate . cancer diagnosis and patients with active thrombophlebitis
__label__1,study interventions are Trastuzumab . hertwo positive early or locally advanced breast cancer diagnosis and known hypersensitivity to murine proteins
__label__1,study interventions are Cyclin-Dependent Kinase Inhibitor Proteins . adult solid tumor diagnosis and the subject has uncontrolled intercurrent illness including but not limited to
__label__1,study interventions are Albumin-Bound Paclitaxel . pancreatic cancer diagnosis and is not considered form of systemic treatment
__label__0,study interventions are Antibodies . stage iiic breast cancer diagnosis and creatinine ratio less_than doc or twenty-four hour protein
__label__0,study interventions are Cetuximab . nasopharyngeal carcinoma diagnosis and pathologically confirmed untreated npc patients
__label__1,study interventions are Adalimumab . hepatosplenic cell lymphoma diagnosis and the patient or the patient hcp is unwilling to participate in this study
__label__0,study interventions are Prednisone . lymphoma diagnosis and performance status
__label__1,study interventions are Leucovorin . stage iv rectal cancer diagnosis and received an investigational agent within thirty clays prior to enrollment
__label__0,study interventions are Vidarabine . contiguous stage ii adult immunoblastic large cell lymphoma diagnosis and the following diseases will be permitted although other diagnoses can be considered if approved by pcc or the participating institution patient review committees and the principal investigator
__label__0,study interventions are Erlotinib Hydrochloride . histologically confirmed measurable squamous cell carcinoma of the vulvar with an assessable lesion on the vulva or measurable metastatic disease
__label__0,study interventions are Thalidomide . multiple myeloma diagnosis and see disease characteristics prior thalidomide allowed if received less than three months of therapy recovered from prior biologic therapy chemotherapy
__label__0,"study interventions are Antibodies, Monoclonal . adenosquamous cell lung cancer diagnosis and no concurrent full dose anticoagulants low molecular weight and unfractionated heparin or warfarin"
